Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Year
201201BS70230,524890,180810,-0.201634,51.512368,1,3,1,1,06/05/2012,1,13:50,12,E09000020,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002882,2012
201201BS70231,527050,178070,-0.171509,51.487262,1,3,2,1,27/04/2012,6,09:05,12,E09000020,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002910,2012
201201BS70232,527710,179680,-0.161426,51.501582,1,3,2,1,09/05/2012,4,06:45,1,E09000033,3,315,Single carriageway,30,,Giveway or uncontrolled,3,4,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01004689,2012
201201BS70233,524460,179370,-0.208335,51.499521,1,3,2,1,26/04/2012,5,10:05,12,E09000020,3,3220,Single carriageway,30,,Giveway or uncontrolled,5,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002864,2012
201201BS70234,525380,180220,-0.194786,51.506957,1,3,2,1,14/05/2012,2,18:20,12,E09000020,3,4204,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002827,2012
201201BS70235,525860,178080,-0.188636,51.487618,1,3,2,1,06/05/2012,1,19:57,12,E09000020,3,3220,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002893,2012
201201BS70236,527560,178300,-0.164084,51.489214,1,3,2,1,05/05/2012,7,15:10,12,E09000020,3,3217,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002903,2012
201201BS70237,527100,178000,-0.170814,51.486622,1,3,2,1,02/05/2012,4,09:00,12,E09000020,3,3217,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002844,2012
201201BS70238,525700,178860,-0.190661,51.494663,1,3,2,1,02/05/2012,4,16:30,12,E09000020,3,4,Dual carriageway,30,,Giveway or uncontrolled,3,4,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002839,2012
201201BS70239,528090,178310,-0.156451,51.489184,1,3,2,1,12/05/2012,7,09:40,12,E09000020,4,302,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002902,2012
201201BS70240,524210,181500,-0.211185,51.518719,1,2,1,1,07/05/2012,2,20:30,12,E09000020,6,0,Single carriageway,30,,Giveway or uncontrolled,4,450,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,No,E01002878,2012
201201BS70241,526750,177420,-0.176061,51.481488,1,3,2,1,09/05/2012,4,19:00,12,E09000020,3,3220,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,Yes,E01002840,2012
201201BS70242,525050,178620,-0.200105,51.49265,1,2,2,1,11/05/2012,6,18:07,12,E09000020,3,4,Dual carriageway,30,,Automatic traffic signal,3,3220,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002848,2012
201201BS70243,524870,181880,-0.201543,51.521988,1,3,3,2,27/04/2012,6,06:30,1,E09000033,5,0,Single carriageway,30,,Giveway or uncontrolled,3,4207,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002854,2012
201201BS70245,527880,179590,-0.159011,51.500735,1,3,2,1,14/05/2012,2,15:15,12,E09000020,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002818,2012
201201BS70246,525680,178400,-0.191113,51.490534,1,3,3,1,17/05/2012,5,08:10,12,E09000020,3,3220,One way street,30,,Automatic traffic signal,6,0,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002849,2012
201201BS70247,525410,178840,-0.194844,51.494548,1,3,1,1,11/05/2012,6,17:40,12,E09000020,3,4,Dual carriageway,30,,,-1,0,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002851,2012
201201BS70248,526130,178760,-0.184506,51.493669,1,3,1,1,27/04/2012,6,18:50,12,E09000020,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002835,2012
201201BS70249,525180,179210,-0.198024,51.497924,1,3,1,1,21/05/2012,2,09:45,12,E09000020,4,316,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002817,2012
201201BS70252,525200,180470,-0.197289,51.509243,1,3,1,1,08/05/2012,3,14:14,12,E09000020,3,4206,Single carriageway,30,,,-1,0,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002884,2012
201201BS70253,526460,179240,-0.179583,51.497909,1,3,1,1,24/04/2012,3,14:45,12,E09000020,5,0,Dual carriageway,30,,Giveway or uncontrolled,5,0,None within 50 metres,Central refuge,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01004688,2012
201201BS70254,524390,180110,-0.209082,51.506187,1,3,2,1,22/05/2012,3,11:50,12,E09000020,3,402,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002871,2012
201201BS70256,526080,177260,-0.185761,51.480199,1,3,1,1,28/04/2012,7,23:30,12,E09000020,3,308,Single carriageway,30,,Giveway or uncontrolled,5,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002843,2012
201201BS70258,526930,177490,-0.173445,51.482076,1,2,1,1,29/04/2012,1,01:03,12,E09000020,3,3212,Single carriageway,30,,Automatic traffic signal,3,3220,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01002840,2012
201201BS70259,523920,182290,-0.215085,51.525882,1,3,2,1,27/05/2012,1,15:00,12,E09000020,4,450,Roundabout,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002852,2012
201201BS70260,526070,177630,-0.185773,51.483527,1,3,2,1,10/05/2012,5,16:30,12,E09000020,3,3220,One way street,30,,,-1,0,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002897,2012
